mc_mc,dates_mc,wy,dy,ts,dd,mm,yyyy,datetime,timestamp,chl,P-E,Precip,CumPrecip,u,v,wdir,uuvv,u1,v1,wdir1,uuvv1,u3,v3,wdir3,uuvv3,sumu3,sumv3,sumuuvv3,PREC_cmcc,CPREC_cmcc,ppppp_cmcc,MLD,LE,LE_STAR,LC,LC_STAR,LEC,LEC_STAR,BIGV,CRI,FRWC,FP,FRSH,N1bulk,N1meanA,Tsurf,Sref,Sbottom,SmaxSummer,Smodel0,Smodel00,Smodel1,Smodel11,Smodel2,Smodel22,Smodel3,Smodel33,Smodel4,Smodel44,Smodel5,Smodel55,Smodel6,Smodel66,Smodel7,Smodel77,Smodel1_fp,Smodel11_fp,Smodel2_fp,Smodel22_fp,Smodel3_fp,Smodel33_fp,Smodel4_fp,Smodel44_fp,Smodel5_fp,Smodel55_fp,Smodel6_fp,Smodel66_fp,Smodel7_fp,Smodel77_fp,doxy,amon,ntra,ntri,dino,phos,slca,dino+0.5chl,ntri+0.5chl,ntra+0.5chl,Ssurface,Tsurface,FW,FR,chl10,doxy10,amon10,ntra10,ntri10,phos10,slca10,dino10,dino+0.5chl10,ntri+0.5chl10,ntra+0.5chl10,season
497,2001-08-21 12:00:00,34.0,233.0,998388000.0,21,8.0,2001.0,2001-08-21 12:00:00,998388000.0,0.152,-2.045769191351348,0.05267896147628471,8.850065528015831,1.544670897857143,1.5022678748214289,100.9423368505718,3.057918861847795,1.8500775708333328,1.473486691666667,89.29498709471103,2.6980560169545247,2.007622115555556,1.2778000093055557,106.99205113460728,2.835205975164107,144.54879232,92.00160067,204.13483021181568,0.3397147323852182,57.072075040716655,0.10547138513897927,11,15.783418526331403,13.405269100702936,11.772101648942462,12.080898344976989,11.430217848781874,11.099163128526616,6707.8125,6707.8125,-0.002584843678910923,0.11550367675306272,0.036209972934717685,0.05456851043562872,0.009165274349622428,26.061129946773963,38.32095465066642,38.18629532934914,38.32214664719157,38.33115180705733,38.659082200744535,38.26864530023736,38.59604093870791,38.270659018147036,38.59807188436253,38.26912329672079,38.5965230245434,38.28485974286762,38.612394099020904,38.27824489392759,38.6057226587729,38.272154314977115,38.59957997374527,38.273432155959966,38.60086874690409,38.174763346052046,38.50135580630475,38.18031065298893,38.50695057152196,38.17608011102472,38.50268383645563,38.21943022300057,38.54640481699703,38.201207910314615,38.52802660891291,38.18442983494501,38.51110499387384,38.18794997851347,38.51465525294917,4.888,0.37,0.09699999999999999,0.04,0.507,0.011000000000000001,0.953,0.583,0.116,0.17300000000000001,38.32095465066642,26.061129946773963,-0.002584843678910923,0.036209972934717685,-0.8181564120552275,0.6891311972344978,-0.431798275933005,-1.0132282657337552,-1.3979400086720375,-1.9586073148417749,-0.02090709936167361,-0.294992040666664,-0.23433144524098595,-0.9355420107730815,-0.7619538968712045,JJA
499,2001-09-04 12:00:00,36.0,247.0,999597600.0,4,9.0,2001.0,2001-09-04 12:00:00,999597600.0,3.8,-1.832896259864789,1.8846175460768089,316.6157477409039,2.486258208809524,1.7827130142857146,112.10329388741714,4.183949777380375,1.9634006370833332,1.413016925,107.33112174992395,3.075680136806008,2.1814907845833336,1.1170393652777777,140.31898246192088,3.915416593548574,157.06733649,80.4268343,281.9099947354973,0.047768590437813584,8.025123193552682,0.028082617326992774,10,16.422685851774776,15.128746962972224,15.779552566634512,15.528031841025665,14.320581042883838,14.055326183410509,2578246.875,2578246.875,0.07347492349719037,0.06006274235096867,0.2632748629596257,0.057014545556814636,0.01594835085260351,25.9238842854075,37.9543156977773,38.167405548263815,38.32214664719157,38.04057496787652,38.36601942068336,37.894250282999,38.218442899916326,38.023348460922996,38.3486455376417,38.017709483223356,38.34295831740068,38.06159464732102,38.38721892753795,38.03931002811145,38.364743659114716,38.05097522938004,38.37650865842915,38.04658283551645,38.372078686789216,37.78794776683082,38.11123094522795,37.94911787219909,38.27377989192011,37.94207800033849,38.266679792598524,37.996865578563565,38.32193608911796,37.969044779820656,38.293877278078156,37.98360797310375,38.30856506228747,37.97812437454954,38.30303455049042,5.702000000000001,0.332,0.21,0.109,0.6509999999999999,0.114,0.639,2.551,2.009,2.11,37.9543156977773,25.9238842854075,0.07347492349719037,0.2632748629596257,0.5797835966168101,0.7560272129734412,-0.4788619162959637,-0.6777807052660807,-0.9625735020593764,-0.9430951486635274,-0.19449914184159983,-0.1864190114318081,0.40671045860979005,0.30297993674824913,0.3242824552976926,SON
500,2001-09-11 12:00:00,37.0,254.0,1000202400.0,11,9.0,2001.0,2001-09-11 12:00:00,1000202400.0,0.536,-3.638638049952888,2.3463189296618823,394.18158018319616,3.5382723800000004,1.3477444870833333,121.80626294847349,5.578332100587825,1.3857650416666667,-0.5878315291666668,165.26990499788238,5.564895116557773,3.741045398611112,1.9638989561111115,83.66750264216493,6.102770734814035,269.3552687,141.40072484,439.3994929066105,1.1469979102658736,192.6956489246668,0.10062419993047292,16,22.06748094491312,22.80655215195036,32.16728323688315,28.438943031710785,28.02530730505267,25.826391245404004,301092.1875,301092.1875,0.08445909296086007,0.17327871720507204,0.12868691538940907,0.046036582911963615,0.005736809407331594,23.054040907317123,38.12221202287397,38.165998862438315,38.32214664719157,38.119855788058146,38.44597850356642,38.191426174594824,38.518161188558175,38.24751668724922,38.57473156636221,38.241162527433055,38.56832304548378,38.22736792882453,38.55441043142465,38.23043933660762,38.557508115693466,38.257126311276174,38.584423402575375,38.24860215718658,38.575826322704145,37.96297316745728,38.28775372190044,38.11708999560179,38.443189049222376,38.09963101885068,38.42558070755919,38.06172835612816,38.38735378024971,38.070167494996156,38.39586511757774,38.143493832981896,38.46981877652175,38.120072481870416,38.446197051236034,5.364,0.409,0.126,0.084,0.6189999999999999,0.016,0.73,0.8869999999999999,0.35200000000000004,0.39399999999999996,38.12221202287397,23.054040907317123,0.08445909296086007,0.12868691538940907,-0.27083521030722996,0.7294887691795613,-0.38827669199265824,-0.8996294548824371,-1.0757207139381184,-1.7958800173440752,-0.1366771398795441,-0.2083093509798821,-0.05207638016827366,-0.4534573365218689,-0.4045037781744259,SON
502,2001-09-25 12:00:00,39.0,268.0,1001412000.0,25,9.0,2001.0,2001-09-25 12:00:00,1001412000.0,0.522,-0.9661187337287952,0.696576022817339,66.87129819046453,0.9334617833333332,1.9132064953125,103.12927808951858,3.2051484037247038,2.5112198625,1.8469234625,55.310815899050134,3.4198477043153,0.8367793583333333,2.4450682740277783,83.94302977202612,3.4480965614903867,60.24811379999999,176.04491573,248.26295242730788,3.75815038340974,360.782436807335,0.32523975234344144,18,17.68790597398721,15.762736329477296,12.094014009336302,12.337228909541825,12.81508857341617,12.593534283917409,192712.5,192712.5,0.04697914971753299,0.21356809995920611,0.11090161157423403,0.043646802249758525,0.007552523708965659,22.832557321329798,38.17476126166843,38.1541425104805,38.32214664719157,38.22212765470071,38.54912532574541,38.222009652547676,38.54900631406121,38.18149479814159,38.5081448472647,38.179020352145706,38.505649231906254,38.22024278665313,38.5472243322883,38.207796837240146,38.534671905378595,38.17310879241492,38.49968709764229,38.17604690981893,38.502650351207116,38.145407448150394,38.471748763036935,38.07389978065485,38.399629333659796,38.06953244763332,38.39522463726228,38.14228897566054,38.46860361141372,38.120322197664244,38.446448903396615,38.05909869799247,38.384701624881686,38.06428439902653,38.38993169058787,4.997,0.544,0.314,0.154,1.012,0.035,1.368,1.273,0.415,0.575,38.17476126166843,22.832557321329798,0.04697914971753299,0.11090161157423403,-0.28232949699773785,0.6987093494425868,-0.26440110030182007,-0.5030703519267851,-0.8124792791635369,-1.4559319556497243,0.13608609738409747,0.005180512503780314,0.10482840365365537,-0.3819519032879073,-0.24033215531036956,SON
503,2001-10-02 12:00:00,40.0,275.0,1002016800.0,2,10.0,2001.0,2001-10-02 12:00:00,1002016800.0,0.7490000000000001,-0.2129381554724031,2.4659998895588653,414.2879814458893,1.2026963495238097,0.6178526655952381,139.6039193982898,3.145262812811605,1.6443367654166667,0.6309673612500001,142.06260560555936,2.0504040864075765,0.7111695648611112,1.5896792190277778,115.12640029955068,2.8472488136497542,51.20420867,114.45690377,205.00191458278232,37.85487519765101,6359.6190332053675,0.42021156129110143,13,15.192363025694554,12.686640821931023,16.193919123074437,16.025077279473766,13.81303790246444,12.943288130257983,847715.625,847715.625,0.04303836705356398,0.5558167385695761,0.1817124252263361,0.04109488376884849,0.010768558320070409,22.52916804229765,38.09638954797879,38.1482143345016,38.32214664719157,38.195275676908324,38.52204362410613,38.09496644937069,38.42087623178801,38.10833831679204,38.43436249811314,38.09397104436564,38.41987231090122,38.12775012265641,38.45394037571915,38.08935511370967,38.41521689006857,38.13977309393211,38.46606620583205,38.137851587631744,38.464128260674826,37.8726950838853,38.196703291918524,37.89914988397128,38.22338441791954,37.870725782247476,38.19471714252553,37.93755405201071,38.2621171410206,37.86159366039296,38.18550689360792,37.96134020629388,38.28610679043946,37.957538712946814,38.28227277458391,5.025,2.23,0.753,0.152,3.135,0.153,2.7319999999999998,3.5095,0.5265,1.1275,38.09638954797879,22.52916804229765,0.04303836705356398,0.1817124252263361,-0.12551818230053347,0.7011360660925265,0.34830486304816066,-0.12320502379929942,-0.8181564120552275,-0.8153085691824012,0.43648069500949493,0.49623754516673524,0.5452452467482319,-0.2786016244784947,0.05211655054999812,SON
504,2001-10-09 12:00:00,41.0,282.0,1002621600.0,9,10.0,2001.0,2001-10-09 12:00:00,1002621600.0,0.66,-1.1779424936667204,0.2507236537414301,42.12157382856025,0.5902824188452381,1.3579771275059525,101.43943734170188,1.9954323447922275,0.4959741445833334,1.3382613866666666,86.99377820339018,1.5885432086819946,0.4784159963888889,1.2258471390416668,94.57886209978271,1.5272231569036034,34.44595174,88.26099401100002,109.96006729705944,0.29172298801236,49.00946198607648,0.08270331602534235,14,13.915198326165134,11.020630833899755,13.291816992628412,13.515866098166333,11.21343999451352,10.556213621764405,747056.25,747056.25,0.03133914061533643,0.10978623702951483,0.17421504731123014,0.046017373081584566,0.010063188961628682,23.15677903856439,38.15436452079792,38.18016619825231,38.32214664719157,38.23636213701601,38.56348158680123,38.11989743972262,38.446020511568925,38.069638147930796,38.395331241846186,38.053917052185334,38.37947564909568,38.118664897366905,38.444777424575726,38.06522043786283,38.390875737416884,38.109121678059395,38.435152561187174,38.11265293927821,38.43871403302652,38.12735710791047,38.453543998656286,38.078951557079186,38.4047243290054,38.06381031111052,38.38945354675834,38.12617002608889,38.452346761120864,38.07469678782898,38.40043315938397,38.11697879456105,38.4430768968353,38.12037981034007,38.44650700896,5.416,0.47600000000000003,0.281,0.11599999999999999,0.873,0.04,2.603,1.203,0.446,0.611,38.15436452079792,23.15677903856439,0.03133914061533643,0.17421504731123014,-0.1804560644581313,0.7336786556770879,-0.3223930472795068,-0.5512936800949201,-0.9355420107730815,-1.3979400086720375,0.41547416810923576,-0.05898575629443027,0.08026562733984477,-0.35066514128785814,-0.21395878975744578,SON
505,2001-10-15 12:00:00,42.0,288.0,1003140000.0,15,10.0,2001.0,2001-10-15 12:00:00,1003140000.0,2.4930000000000003,-2.716583340803828,0.0007755793563429293,0.11168342731338182,-0.8911198913194445,-2.0233020769444447,195.732600278015,4.163847492557999,0.2563315833333332,-0.29098675,175.10107437849138,2.6545852739910614,-1.0339146013888891,-2.3609844208333333,199.1412807236104,4.540626589603285,-74.44185130000002,-169.9908783,326.9251144514365,2.0798067847296005e-05,0.0029949217700106245,0.0011987454998837249,20,16.203164866539282,14.801754699774365,21.3353173256666,21.530841128937908,17.639844615906107,17.300327486351186,38179.6875,38179.6875,0.03649675657110682,0.004324305973754265,0.06465151185357726,0.045390050540226066,0.004084996515297468,22.720126186383105,38.23394195315971,38.21322331515164,38.32214664719157,38.252214944318325,38.579470017926326,38.26960812043913,38.59701199602213,38.262578631830415,38.58992236878313,38.26140961571759,38.58874335151208,38.257296937662375,38.584595488703215,38.25115705464922,38.57840307780715,38.272896358620294,38.60032836571489,38.27334360560317,38.600779438981924,38.303274337637035,38.63096623419878,38.3007492823446,38.628419576571495,38.30032936128249,38.627996063003735,38.29885205047547,38.626506113517955,38.29664654948382,38.6242817440401,38.30445550225432,38.63215750390708,38.30461615737791,38.63231953346622,5.575,0.373,0.546,0.22699999999999998,1.146,0.061,0.5820000000000001,2.3925,1.4735,1.7925,38.23394195315971,22.720126186383105,0.03649675657110682,0.06465151185357726,0.3967222785037735,0.7462448717201983,-0.4282911681913124,-0.2628073572952627,-0.6439741428068774,-1.214670164989233,-0.23507701535011147,0.05918461763137114,0.3788519464488812,0.16835014018594396,0.25345916433983773,SON
506,2001-10-23 12:00:00,43.0,296.0,1003831200.0,23,10.0,2001.0,2001-10-23 12:00:00,1003831200.0,0.621,-1.7322642139832414,0.7624650144993868,146.39328278388226,0.7981683538541667,0.8066638617671876,143.38432579021494,2.9908886686227825,2.963375458333333,0.9730137691375,72.53890735740191,3.2443348919760715,1.4068888615277781,1.4507641495736112,127.13729974127016,3.7292027895730806,101.29599803,104.4550187693,268.5026008492618,0.23032544776315106,44.222485970525,0.055869114143686366,28,17.528132431725062,16.67739497737547,22.110911087851342,21.743735654236204,18.94644097701644,18.49439313842117,722925.0,722925.0,0.03706279045971115,0.10608866206009374,0.17231866045932265,0.04280400609674199,0.003446537080889351,22.43847648672384,38.2655920683036,38.193127803358735,38.32214664719157,38.27142072965046,38.59884011245472,38.222122817310364,38.54912044697027,38.174326418576015,38.50091514082993,38.170713333553635,38.49727114516861,38.16236537856055,38.48885177181112,38.1542147105508,38.480631373265155,38.19548215898726,38.52225187267907,38.19334324003057,38.52009465485835,38.17461863591222,38.50120985814178,38.104122358575424,38.43011047156118,38.0987933160006,38.42473583799972,38.086480678103754,38.412317863111895,38.0744590244288,38.40019336187205,38.135325565988296,38.461580628429225,38.13217081316247,38.45839888608477,5.462999999999999,0.995,0.898,0.13,2.023,0.055,1.818,2.3335,0.4405,1.2085,38.2655920683036,22.43847648672384,0.03706279045971115,0.17231866045932265,-0.20690839982341983,0.7374312005145824,-0.002176919254274547,-0.04672366333269562,-0.8860566476931632,-1.2596373105057561,0.25959387888594865,0.3059958827708047,0.3680078052211747,-0.35605408725193327,0.08224665474366914,SON
508,2001-11-16 12:00:00,46.0,320.0,1005908400.0,16,11.0,2001.0,2001-11-16 12:00:00,1005908400.0,0.256,-0.2908175567932808,4.673234747970426,1906.6797771719337,-1.3619891258455885,-1.2900303085049023,180.75696408044465,6.421251623479738,-4.119224625,-6.786316125,239.2486456604426,8.10655660550046,-3.3270045472222223,-4.754442053611111,225.6828951568149,7.374609780637554,-239.5443274,-342.31982786,530.9719042059039,39.27604469308883,16024.626234780242,0.8513408031907242,42,50.50614774540707,43.18572918847791,65.67168716920837,56.174845646374024,66.55528962973682,53.33494120030068,27321532.03125,27321532.03125,-0.01952580689357708,0.7563402700222231,0.5782774334393515,0.007129919192022133,0.0031788553872863093,19.498088273748422,38.29412741021112,38.38574328389372,38.32214664719157,38.33996261945777,38.66796839134373,38.09836928234786,38.42430817665734,38.18093098460904,38.50757621019868,38.14592728495137,38.47227304714197,38.13605743344253,38.46231875715063,38.104513426679844,38.43050488532863,38.179030949566524,38.50565991999005,38.15483600814503,38.4812579861801,38.090743763964106,38.41661742049367,38.176118868639,38.502722925648776,38.139922370257366,38.46621675924505,38.12971619012039,38.45592326326933,38.09709727837957,38.42302529044986,38.17415408731548,38.50074133524223,38.14913467032323,38.47550787231405,5.836,2.678,0.518,0.159,3.3549999999999995,0.084,1.194,3.483,0.28700000000000003,0.6459999999999999,38.29412741021112,19.498088273748422,-0.01952580689357708,0.5782774334393515,-0.5917600346881504,0.766115283221414,0.42781057267599015,-0.28567024025476695,-0.7986028756795485,-1.0757207139381184,0.07700432679335026,0.5256925245050108,0.5419534744582363,-0.5421181032660076,-0.18976748200491597,SON
509,2001-11-20 12:00:00,47.0,324.0,1006254000.0,20,11.0,2001.0,2001-11-20 12:00:00,1006254000.0,0.359,-0.3041022595793858,2.9852754497784386,286.5864431787301,-1.5443426777083331,-1.7364795645833333,214.21390684800235,4.870078897565931,0.7545905891666665,-2.2319579666666667,249.4679528520633,4.045237215344692,-1.2425601966666666,-0.7443923277777779,204.24842260118908,4.690130971703066,-89.46433415999998,-53.59624760000001,337.6894299626208,26.900033451715736,2582.403211364711,0.7008895813348985,63,44.47292725066253,24.51032317777109,55.717238181097144,37.773706150006426,56.61059984765684,32.13738709397355,3517340.625,3517340.625,0.005645239740394395,0.4115879066479695,0.2919931778977854,0.002203840355060838,0.002204873280793956,19.143623305461908,38.317036064981934,38.405135452773884,38.32214664719157,38.318712715363155,38.64653669022276,38.24681779391817,38.57402669386397,38.23831574327967,38.56545190654312,38.17447696445267,38.50106697465559,38.21543638435064,38.54237681028747,38.12852546472881,38.45472235099247,38.236971611401046,38.564096275357144,38.19651116579671,38.52328968284016,38.240123429761866,38.56727505813168,38.230865814415075,38.55793824210079,38.16135377741155,38.48783151621927,38.205953200582,38.5328124960534,38.111318635639364,38.437368314162796,38.22940223151764,38.5564621379695,38.1853461257508,38.51202912372412,5.155,1.057,0.63,0.11199999999999999,1.7990000000000002,0.062,0.852,1.9785,0.2915,0.8095,38.317036064981934,19.143623305461908,0.005645239740394395,0.2919931778977854,-0.44490555142168087,0.7122286696195353,0.024074987307426243,-0.2006594505464183,-0.9507819773298184,-1.207608310501746,-0.0695604052332999,0.2550311633455514,0.29633605460204654,-0.5353614409049672,-0.09178314691060746,SON
